,Entry_Date,Entry_Price,Position_Size,Direction,Exit_Date,Exit_Price,PnL
40,2021-06-30 00:00:00-04:00,132.6908010406494,15.035851891003544,1.0,2021-07-07 00:00:00-04:00,139.2421187438965,98.5046426769328
41,2021-07-07 00:00:00-04:00,139.2421187438965,14.34197904881259,-1.0,2021-07-13 00:00:00-04:00,141.32525083923338,-29.876236867230585
42,2021-07-15 00:00:00-04:00,139.52088174438475,14.308464240002644,1.0,2021-07-27 00:00:00-04:00,133.33076916503907,-88.57100448315819
43,2021-07-28 00:00:00-04:00,134.79210543823243,14.7967126029919,-1.0,2021-07-30 00:00:00-04:00,135.7704614868164,-14.476453274295869
44,2021-08-02 00:00:00-04:00,135.39261209106445,14.728354942913079,1.0,2021-08-03 00:00:00-04:00,137.21509506225587,26.84217607712206
45,2021-08-05 00:00:00-04:00,140.4206113128662,14.204232349775474,-1.0,2021-08-06 00:00:00-04:00,138.27389320373533,30.492482811565786
46,2021-08-06 00:00:00-04:00,138.27389320373533,14.428592559205256,1.0,2021-08-12 00:00:00-04:00,139.2986874847412,14.786339137637565
47,2021-08-16 00:00:00-04:00,139.74760971069335,14.277977976809602,1.0,2021-08-17 00:00:00-04:00,140.40175506591797,9.339872975529332
48,2021-08-18 00:00:00-04:00,139.41697239685058,14.312605255918182,1.0,2021-08-23 00:00:00-04:00,140.43004705810546,14.499737721314073
49,2021-08-24 00:00:00-04:00,140.03100439453124,14.251343754021503,1.0,2021-08-27 00:00:00-04:00,140.21320783996583,2.596643934055518
50,2021-09-01 00:00:00-04:00,141.80702485656738,14.072659923670546,1.0,2021-09-23 00:00:00-04:00,136.59285415649413,-73.37725104609807
51,2021-09-23 00:00:00-04:00,136.59285415649413,14.598539186772234,-1.0,2021-09-24 00:00:00-04:00,134.70297355651854,27.58949599706418
52,2021-09-24 00:00:00-04:00,134.70297355651854,14.806864769501777,1.0,2021-10-13 00:00:00-04:00,133.54759313964843,-17.1075615899264
53,2021-10-13 00:00:00-04:00,133.54759313964843,14.93180877611799,-1.0,2021-10-19 00:00:00-04:00,136.4317513885498,-43.0656994526586
54,2021-10-19 00:00:00-04:00,136.4317513885498,14.609247212605544,1.0,2021-10-25 00:00:00-04:00,136.44198893737794,0.14956288168147402
55,2021-10-25 00:00:00-04:00,136.44198893737794,14.60758862330752,-1.0,2021-10-27 00:00:00-04:00,136.8663133239746,-6.198356082241195
56,2021-10-28 00:00:00-04:00,139.03470002746582,14.333721224434077,-1.0,2021-10-29 00:00:00-04:00,136.77184333801267,32.43515695746717
57,2021-10-29 00:00:00-04:00,136.77184333801267,14.575034002042553,1.0,2021-11-02 00:00:00-04:00,138.56329385375977,26.11045217999067
58,2021-11-03 00:00:00-04:00,140.882581741333,14.152893787099442,-1.0,2021-11-04 00:00:00-04:00,140.6828396606445,2.8269284527987124
59,2021-11-08 00:00:00-05:00,140.46556632995603,14.194746137375695,1.0,2021-12-06 00:00:00-05:00,125.00584284210206,-219.44685026411156
60,2021-12-07 00:00:00-05:00,126.80659156036377,15.688527919772477,-1.0,2021-12-08 00:00:00-05:00,127.07936024475096,-4.279339120648005
61,2021-12-09 00:00:00-05:00,125.51117375183104,15.849134733772274,1.0,2021-12-13 00:00:00-05:00,130.05924842834472,72.08304832732304
62,2021-12-14 00:00:00-05:00,128.09961318206786,15.539501669867441,1.0,2021-12-23 00:00:00-05:00,132.06743110656737,61.65791326349016
63,2021-12-29 00:00:00-05:00,132.2940118255615,15.055529924659533,1.0,2022-02-01 00:00:00-05:00,120.37669519042969,-179.42151722187006
64,2022-02-02 00:00:00-05:00,120.11700628662108,16.551294468468562,1.0,2022-02-25 00:00:00-05:00,108.44085092926025,-193.2554855792658
65,2022-02-28 00:00:00-05:00,106.3529049835205,18.656295037250356,1.0,2022-03-09 00:00:00-05:00,105.45216627502441,-16.804447097174947
66,2022-03-09 00:00:00-05:00,105.45216627502441,18.811714586949233,-1.0,2022-03-10 00:00:00-05:00,102.50803001403807,55.38425104676291
67,2022-03-10 00:00:00-05:00,102.50803001403807,19.362048978340933,1.0,2022-03-16 00:00:00-04:00,107.94116038513184,105.19653635082918
68,2022-03-16 00:00:00-04:00,107.94116038513184,18.406212485511613,-1.0,2022-03-18 00:00:00-04:00,108.979140045166,-19.105274178227997
69,2022-03-18 00:00:00-04:00,108.979140045166,18.22666222225457,1.0,2022-03-29 00:00:00-04:00,108.17685585021972,-14.622963027539312
70,2022-03-29 00:00:00-04:00,108.17685585021972,18.358403370351777,-1.0,2022-03-30 00:00:00-04:00,106.89137626647948,23.599352722655233
71,2022-03-30 00:00:00-04:00,106.89137626647948,18.58285902269691,1.0,2022-05-20 00:00:00-04:00,94.55449026489258,-229.2546133465724
72,2022-05-23 00:00:00-04:00,96.88366358184814,20.454298914472734,-1.0,2022-05-24 00:00:00-04:00,95.97877931976318,18.50877317968791
73,2022-05-24 00:00:00-04:00,95.97877931976318,20.65017608081507,1.0,2022-05-27 00:00:00-04:00,98.16470700073242,45.13979151194262
74,2022-05-31 00:00:00-04:00,97.08733916473388,20.422861764675144,1.0,2022-06-24 00:00:00-04:00,95.50557222747803,-32.3042075035098
75,2022-06-24 00:00:00-04:00,95.50557222747803,20.75351741804476,-1.0,2022-06-27 00:00:00-04:00,94.61738052368163,18.433101995301325
76,2022-06-27 00:00:00-04:00,94.61738052368163,20.951397020411168,1.0,2022-07-19 00:00:00-04:00,89.61470995330811,-104.8129372822225
77,2022-07-19 00:00:00-04:00,89.61470995330811,22.096738897839845,-1.0,2022-07-20 00:00:00-04:00,89.78440448760985,-3.7496958168560854
78,2022-07-21 00:00:00-04:00,87.80064933776855,22.55152536517765,1.0,2022-09-12 00:00:00-04:00,86.32476741027833,-33.28338872380299
79,2022-09-13 00:00:00-04:00,83.49277979278564,23.706174017471795,1.0,2022-10-04 00:00:00-04:00,85.44162586212158,46.199684052943766
80,2022-10-04 00:00:00-04:00,85.44162586212158,23.175334562082263,-1.0,2022-10-05 00:00:00-04:00,84.77638786315917,15.417113189364006
81,2022-10-05 00:00:00-04:00,84.77638786315917,23.359897252935234,1.0,2022-10-18 00:00:00-04:00,86.3927002029419,37.75689018597576
82,2022-10-19 00:00:00-04:00,84.33880166625976,23.489103932910506,1.0,2022-10-21 00:00:00-04:00,88.19780094909667,90.6444352315835
83,2022-10-24 00:00:00-04:00,88.50079641723632,22.404032418747235,1.0,2022-10-25 00:00:00-04:00,93.47725284576416,111.4926911552208
